ts,url
2024-12-13T11:45:14.338122,https://www.gazetadopovo.com.br/vozes/alexandre-garcia/ferimento-de-lula-foi-grave-e-e-inevitavel-que-gere-expectativas-na-politica/
2024-12-13T11:45:15.116851,https://jornalggn.com.br/coluna-economica/o-acidente-do-lula-e-as-incognitas-da-politica-por-luis-nassif/
2024-12-13T11:45:18.516141,https://jovempan.com.br/noticias/politica/lula-assinou-atos-governamentais-mesmo-internado-na-uti-segundo-alexandre-padilha.html
2024-12-13T11:45:18.821519,https://investnews.com.br/financas/a-excentrica-reacao-do-mercado-a-noticia-sobre-a-cirurgia-de-lula/
2024-12-13T12:29:30.856032,https://www.omelete.com.br/games/the-game-awards-maiores-anuncios
2024-12-13T12:29:31.536835,https://www.techtudo.com.br/noticias/2024/12/the-game-awards-2024-veja-jogos-anunciados-e-mais-novidades-do-evento-edjogos.ghtml
2024-12-13T12:29:31.685028,https://br.ign.com/the-game-awards/133620/news/astro-bot-balatro-black-myth-wukong-confira-todos-os-vencedores-do-the-game-awards-2024
2024-12-13T12:29:31.895083,https://www.em.com.br/tecnologia/2024/12/7011181-the-game-awards-astro-bot-e-eleito-jogo-do-ano.html
2024-12-13T12:29:33.428448,https://jovemnerd.com.br/noticias/games/confira-os-anuncios-principais-do-the-game-awards-2024
2024-12-13T12:29:34.233787,https://flowgames.gg/goty-veja-todos-vencedores-the-game-awards-2024/
2024-12-13T12:29:34.391633,https://www.hardware.com.br/noticias/astro-bot-tudo-que-voce-precisa-saber-sobre-o-goty-2024.html
2024-12-13T12:29:39.591935,https://viciados.net/grande-anuncio-the-game-awards-exclusivo-playstation/
2024-12-13T12:29:41.627071,https://canaltech.com.br/games/astro-bot-e-o-melhor-jogo-do-ano-no-the-game-awards-2024-veja-lista/
2024-12-13T12:29:41.784350,https://diariodonordeste.verdesmares.com.br/entretenimento/geek/the-witcher-iv-e-o-novo-elden-ring-veja-os-principais-anuncios-do-the-game-awards-2024-1.3593896
2024-12-13T12:29:41.984314,https://psxbrasil.com.br/ps-store-recebe-promocao-the-game-awards-2024/
2024-12-13T12:29:58.517324,https://tecnoblog.net/noticias/google-lanca-android-xr-que-fara-estreia-em-headset-vr-da-samsung/
2024-12-13T12:30:00.292212,https://valor.globo.com/empresas/noticia/2024/12/13/google-une-se-a-samsung-para-oculos-inteligentes.ghtml
2024-12-13T12:30:01.020002,https://news.samsung.com/br/desbloqueie-as-infinitas-possibilidades-do-xr-com-o-galaxy-ai
2024-12-13T12:30:01.279936,https://www.mundoconectado.com.br/realidade-virtual/galaxy-xr-samsung-realidade-estendida/
2024-12-13T12:30:03.107744,https://pplware.sapo.pt/google/google-e-samsung-vao-lancar-uns-oculos-de-realidade-mista-para-enfrentar-a-apple-e-meta/
2024-12-13T12:30:06.386008,https://macmagazine.com.br/post/2024/12/12/rival-do-visionos-android-xr-chegara-com-headset-da-samsung-em-2025/
2024-12-13T12:30:06.517093,https://www.binance.com/pt-BR/square/post/12-13-2024-google-unveils-new-android-xr-operating-system-for-enhanced-vr-and-ar-experiences-17487781731737
2024-12-13T12:30:08.460987,https://thenews.waffle.com.br/tecnologia/g%F0%9F%91%93%EF%B8%8Fgle-se-junta-a-samsung-para-bater-meta-e-apple
2024-12-13T12:30:08.721924,https://falabarreiras.com/noticias/android-xr/
2024-12-13T12:30:13.454537,https://www.ajudandroid.com.br/android-xr-sistema-oculos-realidade-mista/
2024-12-13T12:30:17.497483,https://tugatech.com.pt/t63638-google-revela-o-android-xr-plataforma-focada-para-dispositivos-de-realidade-virtual-e-mista
2024-12-13T12:30:19.352544,https://www.techshake.com/samsung-aposta-em-headset-xr-para-2025-conheca-as-parcerias-estrategicas/
2024-12-13T12:30:19.523864,https://www.hardware.com.br/noticias/android-xr-google-anuncia-sistema-projetado-para-headsets-xr-e-oculos-inteligentes.html
2024-12-13T12:30:21.219683,https://4gnews.pt/samsung-galaxy-s25-nao-chega-sozinho-ha-mais-uma-surpresa/
2024-12-13T12:30:21.488120,https://www.msn.com/pt-br/noticias/ciencia-e-tecnologia/samsung-pode-apresentar-seus-aguardados-%C3%B3culos-de-realidade-mista-em-janeiro/ar-AA1vd8Gq
2024-12-13T12:30:39.078149,https://www.uol.com.br/tilt/noticias/redacao/2024/12/13/chuva-de-meteoros-hoje-13-veja-horario-e-como-assistir-a-geminidias.htm
2024-12-13T12:30:39.217182,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias/2024/12/de-olho-no-ceu-chuva-de-meteoros-geminideas-atinge-pico-a-partir-desta-quinta-feira-12
2024-12-13T12:30:42.013572,https://www.em.com.br/gerais/2024/12/7010331-chuva-de-meteoros-pode-ser-vista-a-olho-nu-no-ceu-de-minas-hoje-e-amanha.html
2024-12-13T12:30:42.673400,https://sbtnews.sbt.com.br/noticia/brasil/brasileiros-podem-ver-chuva-de-meteoros-a-partir-de-sexta-feira-13
2024-12-13T12:30:42.971336,https://www.nsctotal.com.br/noticias/chuva-de-meteoros-mais-intensa-do-ano-podera-ser-vista-em-todo-brasil
2024-12-13T12:30:44.007268,https://jovemnerd.com.br/noticias/ciencia-e-tecnologia/chuva-de-meteoros-geminideas-podera-ser-vista-a-olho-nu-neste-final-de-semana
2024-12-13T12:30:45.942738,http://www.campograndenews.com.br/meio-ambiente/tempestades-e-fase-da-lua-podem-dificultar-visualizacao-de-chuva-de-meteoros
2024-12-13T12:30:49.292666,https://www.diariodolitoral.com.br/diario-mais/maior-chuva-de-meteoros-do-ano-ilumina-o-ceu-do-litoral-de-sp-nesta/189113/
2024-12-13T12:30:49.875163,https://www.tribunapr.com.br/noticias/curitiba-regiao/chuva-de-meteoros-vai-iluminar-o-ceu-de-curitiba-nesta-sexta-feira/
